title,created_at,text,retweet_count,favorite_count,date
구의 증명,2023-03-14,이중 구의 증명….. 정말 어깨 들썩이며 울었다. https://t.co/OX9mtIp9N4,0,0,2023-03-19
김미경의 마흔 수업,2023-03-17,김미경 너무 조급한 40대 위해 김미경의 마흔 수업 써 인생은 선택 아닌 수정이 실력 컬투쇼  https://t.co/O01rF1S2EG,0,0,2023-03-19
김미경의 마흔 수업,2023-03-17,오랜만에 글씨 써봅니다. 몽돌쌤의 엽서에 김미경의 마흔수업 책 속의 한줄을 적어 봅니다.  #김미경의마흔수업 #더몽돌 #엽서 #mohae_calligraphy  #나빛힐링캘리 https://t.co/91gff5zv9h,0,1,2023-03-19
김미경의 마흔 수업,2023-03-12,"""임업인들을 "" 위한 가공품시장조사 ""책한권""구입 ""김미경의 마흔수업 #서부의강자2023.03.12 #한국임업후계자협회 #임업후계자 #해밝음 #해밝음장애인복지회 #ESG #산림치유 #사회적농업 #치유농업사… https://t.co/buhpgKB4xo",0,0,2023-03-19
